DepMap_ID,CCLE_name,Disease,Disease Subtype
ACH-001529,JAR_PLACENTA,uterus,choriocarcinoma
ACH-000160,BT12_SOFT_TISSUE,soft_tissue,ATRT
ACH-000096,G401_SOFT_TISSUE,kidney,malignant_rhabdoid_tumor
ACH-001106,KOPN8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,ALL
ACH-001028,CHLA06ATRT_SOFT_TISSUE,soft_tissue,ATRT
ACH-000602,M07E_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,AML
ACH-002079,HSNB_AUTONOMIC_GANGLIA,peripheral_nervous_system,neuroblastoma
ACH-000203,NH6_AUTONOMIC_GANGLIA,peripheral_nervous_system,neuroblastoma
ACH-000375,G402_SOFT_TISSUE,soft_tissue,malignant_rhabdoid_tumor
ACH-000641,CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,AML
ACH-000079,TE125T_FIBROBLAST,fibroblast,fibroblast_soft_tissue
ACH-000136,CHP126_AUTONOMIC_GANGLIA,peripheral_nervous_system,neuroblastoma
ACH-000146,THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,AML
ACH-000201,A204_SOFT_TISSUE,soft_tissue,malignant_rhabdoid_tumor
ACH-000310,IMR32_AUTONOMIC_GANGLIA,peripheral_nervous_system,neuroblastoma
ACH-000607,KYM1_SOFT_TISSUE,soft_tissue,malignant_rhabdoid_tumor
ACH-001196,SMSCTR_SOFT_TISSUE,soft_tissue,rhabdomyosarcoma
ACH-001367,NMB_AUTONOMIC_GANGLIA,peripheral_nervous_system,neuroblastoma
ACH-000023,PATU8988T_PANCREAS,pancreas,exocrine
ACH-001532,JMURTK2_SOFT_TISSUE,kidney,malignant_rhabdoid_tumor
ACH-001583,NCCRBC54_AUTONOMIC_GANGLIA,eye,retinoblastoma
ACH-001587,NCCRBC67_AUTONOMIC_GANGLIA,eye,retinoblastoma
ACH-001589,NCCRBC92_AUTONOMIC_GANGLIA,eye,retinoblastoma
ACH-001603,NH12_AUTONOMIC_GANGLIA,peripheral_nervous_system,neuroblastoma
ACH-001421,WERIRB1_AUTONOMIC_GANGLIA,eye,retinoblastoma
ACH-002081,KPNNS_AUTONOMIC_GANGLIA,peripheral_nervous_system,neuroblastoma
ACH-001548,LS_AUTONOMIC_GANGLIA,peripheral_nervous_system,neuroblastoma
ACH-001300,CHLA15_AUTONOMIC_GANGLIA,peripheral_nervous_system,neuroblastoma
ACH-001338,CHP134_AUTONOMIC_GANGLIA,peripheral_nervous_system,neuroblastoma
ACH-001366,NGP_AUTONOMIC_GANGLIA,peripheral_nervous_system,neuroblastoma
ACH-001590,NCCRBCT1_AUTONOMIC_GANGLIA,eye,retinoblastoma
ACH-002083,NB69_AUTONOMIC_GANGLIA,peripheral_nervous_system,neuroblastoma
ACH-000051,TE617T_SOFT_TISSUE,soft_tissue,rhabdomyosarcoma
ACH-000099,SIMA_AUTONOMIC_GANGLIA,peripheral_nervous_system,neuroblastoma
ACH-000045,MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,AML
ACH-000156,MHHCALL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,ALL
ACH-000185,HS737T_FIBROBLAST,fibroblast,fibroblast_bone
ACH-000664,SUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphocyte,non_hodgkin_lymphoma
ACH-001715,CAL72_BONE,bone,osteosarcoma
ACH-002072,FURPNT2_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,PNET
ACH-000032,MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,ALL
ACH-000338,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphocyte,non_hodgkin_lymphoma
ACH-000341,SKNFI_AUTONOMIC_GANGLIA,peripheral_nervous_system,neuroblastoma
ACH-001184,SCMCRM2_SOFT_TISSUE,soft_tissue,rhabdomyosarcoma
ACH-001665,[MERGED_TO_ACH-000338]SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphocyte,non_hodgkin_lymphoma
